geneID	C4_con3
ENSG00000000003	948
ENSG00000000005	10580
ENSG00000000419	650
ENSG00000000457	201
ENSG00000000460	138
ENSG00000000938	0
ENSG00000000971	1991
ENSG00000001036	428
ENSG00000001084	384
ENSG00000001167	1318
ENSG00000001460	82
ENSG00000001461	314
ENSG00000001497	906
ENSG00000001561	78
ENSG00000001617	2123
ENSG00000001626	10
ENSG00000001629	2314
ENSG00000001630	96
ENSG00000001631	568
ENSG00000002016	390
ENSG00000002330	114
ENSG00000002549	839
ENSG00000002586	0
ENSG00000002587	10
ENSG00000002726	0
ENSG00000002745	0
ENSG00000002746	225
ENSG00000002822	508
ENSG00000002834	10030
ENSG00000002919	349
ENSG00000002933	17
ENSG00000003056	1251
ENSG00000003096	557
ENSG00000003137	97
ENSG00000003147	29
ENSG00000003249	103
ENSG00000003393	1503
ENSG00000003400	29
ENSG00000003402	438
ENSG00000003436	2743
ENSG00000003509	509
ENSG00000003756	4935
ENSG00000003987	29
ENSG00000003989	50
ENSG00000004059	1051
ENSG00000004139	185
ENSG00000004142	1378
ENSG00000004399	3458
ENSG00000004455	1253
ENSG00000004468	53
ENSG00000004478	1377
ENSG00000004487	3112
ENSG00000004534	3430
ENSG00000004660	171
ENSG00000004700	756
ENSG00000004766	585
ENSG00000004776	8
ENSG00000004777	447
ENSG00000004779	545
ENSG00000004799	108
ENSG00000004809	0
ENSG00000004838	5
ENSG00000004846	6
ENSG00000004848	0
ENSG00000004864	705
ENSG00000004866	537
ENSG00000004897	2047
ENSG00000004939	0
ENSG00000004948	5
ENSG00000004961	334
ENSG00000004975	1420
ENSG00000005001	0
ENSG00000005007	2083
ENSG00000005020	495
ENSG00000005022	1898
ENSG00000005059	90
ENSG00000005073	471
ENSG00000005075	254
ENSG00000005100	639
ENSG00000005102	1627
ENSG00000005108	672
ENSG00000005156	886
ENSG00000005175	686
ENSG00000005187	6
ENSG00000005189	50
ENSG00000005194	746
ENSG00000005206	1247
ENSG00000005238	996
ENSG00000005243	746
ENSG00000005249	370
ENSG00000005302	656
ENSG00000005339	3441
ENSG00000005379	35
ENSG00000005381	0
ENSG00000005421	0
ENSG00000005436	390
ENSG00000005448	105
ENSG00000005469	327
ENSG00000005471	16
ENSG00000005483	1870
ENSG00000005486	684
ENSG00000005513	270
ENSG00000005700	2114
ENSG00000005801	695
ENSG00000005810	2397
ENSG00000005812	767
ENSG00000005844	1
ENSG00000005882	425
ENSG00000005884	546
ENSG00000005889	663
ENSG00000005893	3051
ENSG00000005955	1430
ENSG00000005961	88
ENSG00000005981	1
ENSG00000006007	923
ENSG00000006015	336
ENSG00000006016	714
ENSG00000006025	518
ENSG00000006042	2179
ENSG00000006047	48
ENSG00000006059	0
ENSG00000006062	302
ENSG00000006071	30
ENSG00000006074	0
ENSG00000006075	2
ENSG00000006114	1805
ENSG00000006116	0
ENSG00000006118	2566
ENSG00000006125	5947
ENSG00000006128	67
ENSG00000006194	793
ENSG00000006210	94
ENSG00000006282	1246
ENSG00000006283	988
ENSG00000006327	1112
ENSG00000006377	4
ENSG00000006432	366
ENSG00000006451	1053
ENSG00000006453	58
ENSG00000006459	561
ENSG00000006468	902
ENSG00000006530	513
ENSG00000006534	16
ENSG00000006555	0
ENSG00000006576	1992
ENSG00000006606	0
ENSG00000006607	1062
ENSG00000006611	13
ENSG00000006625	294
ENSG00000006634	239
ENSG00000006638	11
ENSG00000006652	1391
ENSG00000006659	0
ENSG00000006695	199
ENSG00000006704	728
ENSG00000006712	1050
ENSG00000006715	1724
ENSG00000006740	99
ENSG00000006744	1189
ENSG00000006747	86
ENSG00000006756	255
ENSG00000006757	149
ENSG00000006788	0
ENSG00000006831	1437
ENSG00000006837	1
ENSG00000007001	1
ENSG00000007038	0
ENSG00000007047	1246
ENSG00000007062	6272
ENSG00000007080	617
ENSG00000007129	0
ENSG00000007168	3784
ENSG00000007171	2
ENSG00000007174	36
ENSG00000007202	2747
ENSG00000007216	0
ENSG00000007237	266
ENSG00000007255	69
ENSG00000007264	6
ENSG00000007306	0
ENSG00000007312	0
ENSG00000007314	5
ENSG00000007341	225
ENSG00000007350	4
ENSG00000007372	17
ENSG00000007376	265
ENSG00000007384	1625
ENSG00000007392	2123
ENSG00000007402	269
ENSG00000007516	24
ENSG00000007520	381
ENSG00000007541	921
ENSG00000007545	507
ENSG00000007866	1817
ENSG00000007908	132
ENSG00000007923	969
ENSG00000007933	8
ENSG00000007944	701
ENSG00000007952	15
ENSG00000007968	85
ENSG00000008018	1932
ENSG00000008056	55
ENSG00000008083	1010
ENSG00000008086	171
ENSG00000008118	59
ENSG00000008128	10
ENSG00000008130	1140
ENSG00000008196	22
ENSG00000008197	0
ENSG00000008226	8
ENSG00000008256	2419
ENSG00000008277	352
ENSG00000008282	1286
ENSG00000008283	77
ENSG00000008294	4162
ENSG00000008300	492
ENSG00000008311	997
ENSG00000008323	4
ENSG00000008324	129
ENSG00000008382	81
ENSG00000008394	729
ENSG00000008405	1164
ENSG00000008438	3
ENSG00000008441	3249
ENSG00000008513	1272
ENSG00000008516	48
ENSG00000008517	285
ENSG00000008710	4085
ENSG00000008735	115
ENSG00000008838	1584
ENSG00000008853	584
ENSG00000008869	868
ENSG00000008952	3217
ENSG00000008988	7863
ENSG00000009307	11418
ENSG00000009335	2283
ENSG00000009413	1494
ENSG00000009694	1517
ENSG00000009709	0
ENSG00000009724	79
ENSG00000009765	0
ENSG00000009780	186
ENSG00000009790	24
ENSG00000009830	1119
ENSG00000009844	1118
ENSG00000009950	2
ENSG00000009954	2824
ENSG00000010017	1021
ENSG00000010030	2
ENSG00000010072	301
ENSG00000010165	583
ENSG00000010219	94
ENSG00000010244	3404
ENSG00000010256	1540
ENSG00000010270	803
ENSG00000010278	153
ENSG00000010282	0
ENSG00000010292	1520
ENSG00000010295	903
ENSG00000010310	47
ENSG00000010318	35
ENSG00000010319	31
ENSG00000010322	5640
ENSG00000010327	2
ENSG00000010361	134
ENSG00000010379	8
ENSG00000010404	1574
ENSG00000010438	6
ENSG00000010539	215
ENSG00000010610	15
ENSG00000010626	89
ENSG00000010671	0
ENSG00000010704	148
ENSG00000010803	916
ENSG00000010810	1632
ENSG00000010818	672
ENSG00000010932	7
ENSG00000011007	1478
ENSG00000011009	920
ENSG00000011021	1322
ENSG00000011028	15447
ENSG00000011052	0
ENSG00000011083	1
ENSG00000011105	4497
ENSG00000011114	1457
ENSG00000011132	269
ENSG00000011143	186
ENSG00000011198	131
ENSG00000011201	4241
ENSG00000011243	1879
ENSG00000011258	848
ENSG00000011260	454
ENSG00000011275	1774
ENSG00000011295	766
ENSG00000011304	5065
ENSG00000011332	69
ENSG00000011347	47
ENSG00000011376	659
ENSG00000011405	2300
ENSG00000011422	351
ENSG00000011426	934
ENSG00000011451	1867
ENSG00000011454	2215
ENSG00000011465	11806
ENSG00000011478	191
ENSG00000011485	1096
ENSG00000011523	450
ENSG00000011566	1580
ENSG00000011590	20
