geneID	C2_kd3
ENSG00000000003	2548
ENSG00000000005	5187
ENSG00000000419	817
ENSG00000000457	363
ENSG00000000460	410
ENSG00000000938	3
ENSG00000000971	704
ENSG00000001036	953
ENSG00000001084	537
ENSG00000001167	1880
ENSG00000001460	119
ENSG00000001461	272
ENSG00000001497	1642
ENSG00000001561	73
ENSG00000001617	615
ENSG00000001626	11
ENSG00000001629	2619
ENSG00000001630	181
ENSG00000001631	1085
ENSG00000002016	601
ENSG00000002330	256
ENSG00000002549	906
ENSG00000002586	0
ENSG00000002587	326
ENSG00000002726	2
ENSG00000002745	4
ENSG00000002746	163
ENSG00000002822	1044
ENSG00000002834	12137
ENSG00000002919	460
ENSG00000002933	29
ENSG00000003056	1543
ENSG00000003096	535
ENSG00000003137	461
ENSG00000003147	50
ENSG00000003249	125
ENSG00000003393	2137
ENSG00000003400	34
ENSG00000003402	925
ENSG00000003436	2562
ENSG00000003509	627
ENSG00000003756	7533
ENSG00000003987	46
ENSG00000003989	1049
ENSG00000004059	1857
ENSG00000004139	344
ENSG00000004142	2250
ENSG00000004399	2904
ENSG00000004455	1863
ENSG00000004468	573
ENSG00000004478	1575
ENSG00000004487	5810
ENSG00000004534	4549
ENSG00000004660	142
ENSG00000004700	1057
ENSG00000004766	916
ENSG00000004776	41
ENSG00000004777	2309
ENSG00000004779	914
ENSG00000004799	188
ENSG00000004809	1
ENSG00000004838	27
ENSG00000004846	83
ENSG00000004848	2
ENSG00000004864	1261
ENSG00000004866	847
ENSG00000004897	3135
ENSG00000004939	0
ENSG00000004948	13
ENSG00000004961	498
ENSG00000004975	2880
ENSG00000005001	0
ENSG00000005007	3478
ENSG00000005020	251
ENSG00000005022	3299
ENSG00000005059	129
ENSG00000005073	268
ENSG00000005075	635
ENSG00000005100	1126
ENSG00000005102	133
ENSG00000005108	618
ENSG00000005156	1492
ENSG00000005175	1019
ENSG00000005187	41
ENSG00000005189	232
ENSG00000005194	1423
ENSG00000005206	2652
ENSG00000005238	1106
ENSG00000005243	744
ENSG00000005249	501
ENSG00000005302	1080
ENSG00000005339	6071
ENSG00000005379	149
ENSG00000005381	0
ENSG00000005421	1
ENSG00000005436	554
ENSG00000005448	457
ENSG00000005469	513
ENSG00000005471	213
ENSG00000005483	3083
ENSG00000005486	1588
ENSG00000005513	204
ENSG00000005700	2530
ENSG00000005801	1319
ENSG00000005810	2471
ENSG00000005812	1213
ENSG00000005844	0
ENSG00000005882	701
ENSG00000005884	227
ENSG00000005889	1158
ENSG00000005893	4112
ENSG00000005955	2152
ENSG00000005961	203
ENSG00000005981	5
ENSG00000006007	1547
ENSG00000006015	498
ENSG00000006016	207
ENSG00000006025	662
ENSG00000006042	2853
ENSG00000006047	122
ENSG00000006059	0
ENSG00000006062	360
ENSG00000006071	31
ENSG00000006074	0
ENSG00000006075	0
ENSG00000006114	2604
ENSG00000006116	0
ENSG00000006118	4433
ENSG00000006125	8197
ENSG00000006128	75
ENSG00000006194	1135
ENSG00000006210	432
ENSG00000006282	1147
ENSG00000006283	2476
ENSG00000006327	476
ENSG00000006377	3
ENSG00000006432	360
ENSG00000006451	1630
ENSG00000006453	141
ENSG00000006459	499
ENSG00000006468	1423
ENSG00000006530	849
ENSG00000006534	109
ENSG00000006555	0
ENSG00000006576	1679
ENSG00000006606	4
ENSG00000006607	1779
ENSG00000006611	0
ENSG00000006625	678
ENSG00000006634	736
ENSG00000006638	20
ENSG00000006652	1713
ENSG00000006659	0
ENSG00000006695	324
ENSG00000006704	1433
ENSG00000006712	1865
ENSG00000006715	2735
ENSG00000006740	204
ENSG00000006744	1755
ENSG00000006747	132
ENSG00000006756	302
ENSG00000006757	197
ENSG00000006788	0
ENSG00000006831	2323
ENSG00000006837	50
ENSG00000007001	2
ENSG00000007038	0
ENSG00000007047	1901
ENSG00000007062	2426
ENSG00000007080	1219
ENSG00000007129	2
ENSG00000007168	5812
ENSG00000007171	10
ENSG00000007174	32
ENSG00000007202	4278
ENSG00000007216	0
ENSG00000007237	500
ENSG00000007255	170
ENSG00000007264	7
ENSG00000007306	0
ENSG00000007312	2
ENSG00000007314	7
ENSG00000007341	292
ENSG00000007350	34
ENSG00000007372	244
ENSG00000007376	458
ENSG00000007384	1585
ENSG00000007392	3388
ENSG00000007402	641
ENSG00000007516	510
ENSG00000007520	676
ENSG00000007541	1900
ENSG00000007545	812
ENSG00000007866	2770
ENSG00000007908	1
ENSG00000007923	1352
ENSG00000007933	25
ENSG00000007944	1015
ENSG00000007952	8
ENSG00000007968	504
ENSG00000008018	2849
ENSG00000008056	87
ENSG00000008083	2360
ENSG00000008086	181
ENSG00000008118	48
ENSG00000008128	29
ENSG00000008130	2064
ENSG00000008196	756
ENSG00000008197	0
ENSG00000008226	25
ENSG00000008256	3193
ENSG00000008277	1118
ENSG00000008282	1784
ENSG00000008283	203
ENSG00000008294	7607
ENSG00000008300	1259
ENSG00000008311	2564
ENSG00000008323	10
ENSG00000008324	242
ENSG00000008382	290
ENSG00000008394	419
ENSG00000008405	1315
ENSG00000008438	5
ENSG00000008441	2406
ENSG00000008513	726
ENSG00000008516	102
ENSG00000008517	116
ENSG00000008710	5218
ENSG00000008735	484
ENSG00000008838	3279
ENSG00000008853	1153
ENSG00000008869	1215
ENSG00000008952	3759
ENSG00000008988	12296
ENSG00000009307	16369
ENSG00000009335	2527
ENSG00000009413	1977
ENSG00000009694	1060
ENSG00000009709	28
ENSG00000009724	186
ENSG00000009765	1
ENSG00000009780	340
ENSG00000009790	34
ENSG00000009830	1673
ENSG00000009844	1955
ENSG00000009950	15
ENSG00000009954	5469
ENSG00000010017	1439
ENSG00000010030	13
ENSG00000010072	418
ENSG00000010165	827
ENSG00000010219	273
ENSG00000010244	5445
ENSG00000010256	3115
ENSG00000010270	1592
ENSG00000010278	38
ENSG00000010282	2
ENSG00000010292	6009
ENSG00000010295	1118
ENSG00000010310	99
ENSG00000010318	129
ENSG00000010319	8
ENSG00000010322	7491
ENSG00000010327	1
ENSG00000010361	292
ENSG00000010379	10
ENSG00000010404	2455
ENSG00000010438	12
ENSG00000010539	535
ENSG00000010610	165
ENSG00000010626	126
ENSG00000010671	0
ENSG00000010704	122
ENSG00000010803	1485
ENSG00000010810	4473
ENSG00000010818	373
ENSG00000010932	743
ENSG00000011007	1768
ENSG00000011009	1197
ENSG00000011021	2222
ENSG00000011028	8335
ENSG00000011052	0
ENSG00000011083	0
ENSG00000011105	3824
ENSG00000011114	1913
ENSG00000011132	394
ENSG00000011143	627
ENSG00000011198	150
ENSG00000011201	356
ENSG00000011243	3067
ENSG00000011258	1632
ENSG00000011260	877
ENSG00000011275	2362
ENSG00000011295	1133
ENSG00000011304	11475
ENSG00000011332	494
ENSG00000011347	74
ENSG00000011376	1114
ENSG00000011405	3158
ENSG00000011422	393
ENSG00000011426	3853
ENSG00000011451	3623
ENSG00000011454	3327
ENSG00000011465	26609
ENSG00000011478	347
ENSG00000011485	2322
ENSG00000011523	1262
ENSG00000011566	2438
ENSG00000011590	13
ENSG00000011600	0
ENSG00000011638	565
ENSG00000011677	13
ENSG00000012048	707
ENSG00000012061	1368
ENSG00000012124	0
ENSG00000012171	227
ENSG00000012174	1171
ENSG00000012211	32
ENSG00000012223	0
ENSG00000012232	4882
ENSG00000012504	4
ENSG00000012660	5798
ENSG00000012779	4
ENSG00000012817	2818
ENSG00000012822	2891
ENSG00000012963	1362
ENSG00000012983	2550
ENSG00000013016	662
ENSG00000013275	2003
ENSG00000013288	1549
ENSG00000013293	113
ENSG00000013297	271
ENSG00000013306	2089
ENSG00000013364	520
ENSG00000013374	1470
ENSG00000013375	2338
ENSG00000013392	358
ENSG00000013441	2427
ENSG00000013503	561
ENSG00000013523	1041
ENSG00000013561	885
ENSG00000013563	134
ENSG00000013573	1792
ENSG00000013583	894
ENSG00000013588	72
ENSG00000013619	346
ENSG00000013725	4
ENSG00000013810	3696
ENSG00000014123	1165
ENSG00000014138	1188
ENSG00000014164	711
ENSG00000014216	3067
ENSG00000014257	7
ENSG00000014641	3456
ENSG00000014824	2794
ENSG00000014914	822
ENSG00000014919	1145
ENSG00000015133	1220
ENSG00000015153	398
ENSG00000015171	3016
ENSG00000015285	29
ENSG00000015413	0
