geneID	C4_con1
ENSG00000000003	836
ENSG00000000005	9066
ENSG00000000419	491
ENSG00000000457	218
ENSG00000000460	117
ENSG00000000938	1
ENSG00000000971	2004
ENSG00000001036	410
ENSG00000001084	354
ENSG00000001167	979
ENSG00000001460	51
ENSG00000001461	276
ENSG00000001497	764
ENSG00000001561	96
ENSG00000001617	2020
ENSG00000001626	10
ENSG00000001629	2069
ENSG00000001630	104
ENSG00000001631	551
ENSG00000002016	365
ENSG00000002330	100
ENSG00000002549	777
ENSG00000002586	0
ENSG00000002587	6
ENSG00000002726	0
ENSG00000002745	0
ENSG00000002746	247
ENSG00000002822	468
ENSG00000002834	8950
ENSG00000002919	301
ENSG00000002933	4
ENSG00000003056	994
ENSG00000003096	426
ENSG00000003137	69
ENSG00000003147	27
ENSG00000003249	94
ENSG00000003393	1273
ENSG00000003400	14
ENSG00000003402	410
ENSG00000003436	2507
ENSG00000003509	406
ENSG00000003756	4431
ENSG00000003987	25
ENSG00000003989	61
ENSG00000004059	961
ENSG00000004139	160
ENSG00000004142	1394
ENSG00000004399	3053
ENSG00000004455	1181
ENSG00000004468	78
ENSG00000004478	1156
ENSG00000004487	2596
ENSG00000004534	3066
ENSG00000004660	123
ENSG00000004700	702
ENSG00000004766	590
ENSG00000004776	9
ENSG00000004777	377
ENSG00000004779	406
ENSG00000004799	35
ENSG00000004809	2
ENSG00000004838	2
ENSG00000004846	5
ENSG00000004848	0
ENSG00000004864	629
ENSG00000004866	535
ENSG00000004897	1725
ENSG00000004939	0
ENSG00000004948	4
ENSG00000004961	313
ENSG00000004975	1316
ENSG00000005001	0
ENSG00000005007	1905
ENSG00000005020	367
ENSG00000005022	1592
ENSG00000005059	91
ENSG00000005073	375
ENSG00000005075	262
ENSG00000005100	612
ENSG00000005102	1382
ENSG00000005108	610
ENSG00000005156	782
ENSG00000005175	573
ENSG00000005187	9
ENSG00000005189	62
ENSG00000005194	718
ENSG00000005206	1173
ENSG00000005238	783
ENSG00000005243	613
ENSG00000005249	342
ENSG00000005302	584
ENSG00000005339	3066
ENSG00000005379	35
ENSG00000005381	0
ENSG00000005421	0
ENSG00000005436	347
ENSG00000005448	91
ENSG00000005469	285
ENSG00000005471	25
ENSG00000005483	1653
ENSG00000005486	581
ENSG00000005513	225
ENSG00000005700	1810
ENSG00000005801	519
ENSG00000005810	2064
ENSG00000005812	638
ENSG00000005844	0
ENSG00000005882	340
ENSG00000005884	598
ENSG00000005889	611
ENSG00000005893	2841
ENSG00000005955	1339
ENSG00000005961	66
ENSG00000005981	0
ENSG00000006007	785
ENSG00000006015	304
ENSG00000006016	761
ENSG00000006025	412
ENSG00000006042	1918
ENSG00000006047	42
ENSG00000006059	0
ENSG00000006062	302
ENSG00000006071	37
ENSG00000006074	0
ENSG00000006075	0
ENSG00000006114	1561
ENSG00000006116	0
ENSG00000006118	2391
ENSG00000006125	5163
ENSG00000006128	97
ENSG00000006194	721
ENSG00000006210	99
ENSG00000006282	1121
ENSG00000006283	925
ENSG00000006327	1002
ENSG00000006377	6
ENSG00000006432	352
ENSG00000006451	973
ENSG00000006453	56
ENSG00000006459	468
ENSG00000006468	871
ENSG00000006530	453
ENSG00000006534	10
ENSG00000006555	0
ENSG00000006576	1632
ENSG00000006606	4
ENSG00000006607	998
ENSG00000006611	10
ENSG00000006625	192
ENSG00000006634	196
ENSG00000006638	22
ENSG00000006652	1293
ENSG00000006659	0
ENSG00000006695	203
ENSG00000006704	669
ENSG00000006712	981
ENSG00000006715	1648
ENSG00000006740	115
ENSG00000006744	1151
ENSG00000006747	90
ENSG00000006756	214
ENSG00000006757	138
ENSG00000006788	0
ENSG00000006831	1268
ENSG00000006837	8
ENSG00000007001	0
ENSG00000007038	0
ENSG00000007047	1169
ENSG00000007062	5794
ENSG00000007080	586
ENSG00000007129	0
ENSG00000007168	3325
ENSG00000007171	2
ENSG00000007174	17
ENSG00000007202	2451
ENSG00000007216	0
ENSG00000007237	262
ENSG00000007255	62
ENSG00000007264	8
ENSG00000007306	0
ENSG00000007312	5
ENSG00000007314	13
ENSG00000007341	203
ENSG00000007350	0
ENSG00000007372	6
ENSG00000007376	245
ENSG00000007384	1473
ENSG00000007392	1881
ENSG00000007402	257
ENSG00000007516	13
ENSG00000007520	284
ENSG00000007541	851
ENSG00000007545	468
ENSG00000007866	1735
ENSG00000007908	77
ENSG00000007923	902
ENSG00000007933	20
ENSG00000007944	608
ENSG00000007952	3
ENSG00000007968	58
ENSG00000008018	1684
ENSG00000008056	27
ENSG00000008083	871
ENSG00000008086	124
ENSG00000008118	63
ENSG00000008128	11
ENSG00000008130	988
ENSG00000008196	21
ENSG00000008197	0
ENSG00000008226	9
ENSG00000008256	2290
ENSG00000008277	368
ENSG00000008282	1280
ENSG00000008283	93
ENSG00000008294	3905
ENSG00000008300	471
ENSG00000008311	1015
ENSG00000008323	10
ENSG00000008324	100
ENSG00000008382	79
ENSG00000008394	697
ENSG00000008405	1169
ENSG00000008438	8
ENSG00000008441	2948
ENSG00000008513	1027
ENSG00000008516	38
ENSG00000008517	391
ENSG00000008710	3574
ENSG00000008735	82
ENSG00000008838	1424
ENSG00000008853	523
ENSG00000008869	870
ENSG00000008952	2913
ENSG00000008988	7446
ENSG00000009307	9992
ENSG00000009335	2093
ENSG00000009413	1213
ENSG00000009694	1282
ENSG00000009709	0
ENSG00000009724	97
ENSG00000009765	0
ENSG00000009780	154
ENSG00000009790	18
ENSG00000009830	906
ENSG00000009844	1069
ENSG00000009950	8
ENSG00000009954	2871
ENSG00000010017	846
ENSG00000010030	5
ENSG00000010072	259
ENSG00000010165	594
ENSG00000010219	114
ENSG00000010244	3099
ENSG00000010256	1257
ENSG00000010270	755
ENSG00000010278	170
ENSG00000010282	2
ENSG00000010292	1374
ENSG00000010295	839
ENSG00000010310	51
ENSG00000010318	30
ENSG00000010319	32
ENSG00000010322	5196
ENSG00000010327	1
ENSG00000010361	95
