geneID	C5_kd3
ENSG00000000003	1796
ENSG00000000005	1502
ENSG00000000419	616
ENSG00000000457	295
ENSG00000000460	396
ENSG00000000938	0
ENSG00000000971	619
ENSG00000001036	736
ENSG00000001084	315
ENSG00000001167	1662
ENSG00000001460	72
ENSG00000001461	150
ENSG00000001497	1278
ENSG00000001561	118
ENSG00000001617	107
ENSG00000001626	2
ENSG00000001629	2026
ENSG00000001630	134
ENSG00000001631	848
ENSG00000002016	493
ENSG00000002330	147
ENSG00000002549	943
ENSG00000002586	0
ENSG00000002587	216
ENSG00000002726	0
ENSG00000002745	1
ENSG00000002746	36
ENSG00000002822	759
ENSG00000002834	8171
ENSG00000002919	496
ENSG00000002933	0
ENSG00000003056	1710
ENSG00000003096	259
ENSG00000003137	53
ENSG00000003147	58
ENSG00000003249	180
ENSG00000003393	1769
ENSG00000003400	5
ENSG00000003402	879
ENSG00000003436	1924
ENSG00000003509	496
ENSG00000003756	4979
ENSG00000003987	36
ENSG00000003989	217
ENSG00000004059	1444
ENSG00000004139	301
ENSG00000004142	1811
ENSG00000004399	1897
ENSG00000004455	1537
ENSG00000004468	87
ENSG00000004478	1328
ENSG00000004487	3965
ENSG00000004534	4970
ENSG00000004660	133
ENSG00000004700	1067
ENSG00000004766	701
ENSG00000004776	2
ENSG00000004777	925
ENSG00000004779	922
ENSG00000004799	53
ENSG00000004809	1
ENSG00000004838	37
ENSG00000004846	0
ENSG00000004848	55
ENSG00000004864	1400
ENSG00000004866	376
ENSG00000004897	2263
ENSG00000004939	0
ENSG00000004948	6
ENSG00000004961	415
ENSG00000004975	2077
ENSG00000005001	0
ENSG00000005007	2462
ENSG00000005020	196
ENSG00000005022	3047
ENSG00000005059	163
ENSG00000005073	0
ENSG00000005075	380
ENSG00000005100	859
ENSG00000005102	331
ENSG00000005108	359
ENSG00000005156	1210
ENSG00000005175	900
ENSG00000005187	3
ENSG00000005189	162
ENSG00000005194	1358
ENSG00000005206	1154
ENSG00000005238	981
ENSG00000005243	200
ENSG00000005249	541
ENSG00000005302	1004
ENSG00000005339	3757
ENSG00000005379	123
ENSG00000005381	0
ENSG00000005421	0
ENSG00000005436	370
ENSG00000005448	476
ENSG00000005469	340
ENSG00000005471	31
ENSG00000005483	2338
ENSG00000005486	1464
ENSG00000005513	353
ENSG00000005700	1901
ENSG00000005801	723
ENSG00000005810	1915
ENSG00000005812	953
ENSG00000005844	0
ENSG00000005882	473
ENSG00000005884	457
ENSG00000005889	870
ENSG00000005893	3348
ENSG00000005955	1626
ENSG00000005961	49
ENSG00000005981	0
ENSG00000006007	1284
ENSG00000006015	350
ENSG00000006016	209
ENSG00000006025	377
ENSG00000006042	1964
ENSG00000006047	45
ENSG00000006059	0
ENSG00000006062	328
ENSG00000006071	6
ENSG00000006074	0
ENSG00000006075	0
ENSG00000006114	2230
ENSG00000006116	1
ENSG00000006118	2123
ENSG00000006125	7761
ENSG00000006128	55
ENSG00000006194	939
ENSG00000006210	545
ENSG00000006282	978
ENSG00000006283	637
ENSG00000006327	505
ENSG00000006377	1
ENSG00000006432	294
ENSG00000006451	1353
ENSG00000006453	17
ENSG00000006459	388
ENSG00000006468	1966
ENSG00000006530	611
ENSG00000006534	177
ENSG00000006555	0
ENSG00000006576	990
ENSG00000006606	0
ENSG00000006607	1433
ENSG00000006611	0
ENSG00000006625	733
ENSG00000006634	388
ENSG00000006638	6
ENSG00000006652	1385
ENSG00000006659	0
ENSG00000006695	252
ENSG00000006704	896
ENSG00000006712	1699
ENSG00000006715	2125
ENSG00000006740	95
ENSG00000006744	1481
ENSG00000006747	10
ENSG00000006756	346
ENSG00000006757	88
ENSG00000006788	0
ENSG00000006831	1870
ENSG00000006837	28
ENSG00000007001	3
ENSG00000007038	0
ENSG00000007047	1242
ENSG00000007062	3590
ENSG00000007080	941
ENSG00000007129	0
ENSG00000007168	4818
ENSG00000007171	1
ENSG00000007174	17
ENSG00000007202	3792
ENSG00000007216	0
ENSG00000007237	339
ENSG00000007255	137
ENSG00000007264	0
ENSG00000007306	0
ENSG00000007312	2
ENSG00000007314	0
ENSG00000007341	218
ENSG00000007350	0
ENSG00000007372	37
ENSG00000007376	417
ENSG00000007384	1067
ENSG00000007392	2696
ENSG00000007402	218
ENSG00000007516	271
ENSG00000007520	587
ENSG00000007541	1450
ENSG00000007545	610
ENSG00000007866	1265
ENSG00000007908	4
ENSG00000007923	980
ENSG00000007933	3
ENSG00000007944	477
ENSG00000007952	8
ENSG00000007968	331
ENSG00000008018	2667
ENSG00000008056	163
ENSG00000008083	2291
ENSG00000008086	96
ENSG00000008118	8
ENSG00000008128	27
ENSG00000008130	1546
ENSG00000008196	109
ENSG00000008197	0
ENSG00000008226	20
ENSG00000008256	1711
ENSG00000008277	270
ENSG00000008282	1327
ENSG00000008283	179
ENSG00000008294	6910
ENSG00000008300	944
ENSG00000008311	1173
ENSG00000008323	14
ENSG00000008324	264
ENSG00000008382	250
ENSG00000008394	239
ENSG00000008405	842
ENSG00000008438	1
ENSG00000008441	1627
ENSG00000008513	616
ENSG00000008516	64
ENSG00000008517	2
ENSG00000008710	2712
ENSG00000008735	246
ENSG00000008838	2343
ENSG00000008853	716
ENSG00000008869	1067
ENSG00000008952	3089
ENSG00000008988	8493
ENSG00000009307	13643
ENSG00000009335	2378
ENSG00000009413	1563
ENSG00000009694	2237
ENSG00000009709	0
ENSG00000009724	96
ENSG00000009765	0
ENSG00000009780	258
ENSG00000009790	34
ENSG00000009830	1289
ENSG00000009844	1799
ENSG00000009950	2
ENSG00000009954	4347
ENSG00000010017	1269
ENSG00000010030	0
ENSG00000010072	432
ENSG00000010165	672
ENSG00000010219	321
ENSG00000010244	4050
ENSG00000010256	2304
ENSG00000010270	1704
ENSG00000010278	13
ENSG00000010282	0
ENSG00000010292	4261
ENSG00000010295	654
ENSG00000010310	47
ENSG00000010318	87
ENSG00000010319	17
ENSG00000010322	5021
ENSG00000010327	3
ENSG00000010361	239
ENSG00000010379	2
ENSG00000010404	2966
ENSG00000010438	2
ENSG00000010539	413
ENSG00000010610	118
ENSG00000010626	145
ENSG00000010671	1
ENSG00000010704	55
ENSG00000010803	803
ENSG00000010810	5881
ENSG00000010818	359
ENSG00000010932	127
ENSG00000011007	1390
ENSG00000011009	912
ENSG00000011021	1442
ENSG00000011028	8039
ENSG00000011052	0
ENSG00000011083	2
ENSG00000011105	2171
ENSG00000011114	1555
ENSG00000011132	285
ENSG00000011143	390
ENSG00000011198	137
ENSG00000011201	44
ENSG00000011243	2334
ENSG00000011258	1183
ENSG00000011260	812
ENSG00000011275	1983
ENSG00000011295	1076
ENSG00000011304	8546
ENSG00000011332	268
ENSG00000011347	120
ENSG00000011376	823
ENSG00000011405	2408
ENSG00000011422	195
ENSG00000011426	2198
ENSG00000011451	2430
ENSG00000011454	3085
ENSG00000011465	14487
ENSG00000011478	351
ENSG00000011485	1893
ENSG00000011523	985
ENSG00000011566	1433
ENSG00000011590	1
ENSG00000011600	0
ENSG00000011638	456
ENSG00000011677	4
ENSG00000012048	863
ENSG00000012061	976
ENSG00000012124	0
ENSG00000012171	58
ENSG00000012174	914
ENSG00000012211	4
ENSG00000012223	0
ENSG00000012232	4537
ENSG00000012504	24
ENSG00000012660	3193
ENSG00000012779	0
ENSG00000012817	2107
ENSG00000012822	1873
ENSG00000012963	1153
ENSG00000012983	2087
ENSG00000013016	452
ENSG00000013275	1603
ENSG00000013288	1218
ENSG00000013293	24
ENSG00000013297	137
ENSG00000013306	1806
ENSG00000013364	151
ENSG00000013374	1080
ENSG00000013375	1556
ENSG00000013392	295
ENSG00000013441	2149
ENSG00000013503	470
ENSG00000013523	728
ENSG00000013561	1007
ENSG00000013563	91
ENSG00000013573	1146
ENSG00000013583	408
ENSG00000013588	12
ENSG00000013619	212
ENSG00000013725	2
ENSG00000013810	2474
ENSG00000014123	804
ENSG00000014138	847
ENSG00000014164	483
ENSG00000014216	2366
ENSG00000014257	84
ENSG00000014641	2607
ENSG00000014824	2325
ENSG00000014914	286
ENSG00000014919	1061
ENSG00000015133	756
ENSG00000015153	340
ENSG00000015171	2389
ENSG00000015285	20
ENSG00000015413	0
ENSG00000015475	282
ENSG00000015479	12853
ENSG00000015520	0
ENSG00000015532	928
ENSG00000015568	17
ENSG00000015592	63
ENSG00000015676	2042
ENSG00000016082	1
ENSG00000016391	98
ENSG00000016402	1
ENSG00000016490	0
ENSG00000016602	0
ENSG00000016864	1493
ENSG00000017260	2715
ENSG00000017373	580
ENSG00000017427	2
ENSG00000017483	1
ENSG00000017621	16
ENSG00000017797	1678
ENSG00000018189	3578
ENSG00000018236	433
ENSG00000018280	3
ENSG00000018408	3564
ENSG00000018510	1143
ENSG00000018610	347
ENSG00000018625	5344
ENSG00000018699	379
ENSG00000018869	73
ENSG00000019102	12
ENSG00000019144	4752
ENSG00000019169	0
ENSG00000019186	118
ENSG00000019485	124
ENSG00000019505	130
ENSG00000019549	1975
ENSG00000019582	2
ENSG00000019991	209
ENSG00000019995	1324
ENSG00000020129	1062
ENSG00000020181	2365
ENSG00000020256	642
ENSG00000020426	243
ENSG00000020577	1890
ENSG00000020633	0
ENSG00000020922	411
ENSG00000021300	257
ENSG00000021355	73
ENSG00000021461	3
ENSG00000021488	24
ENSG00000021574	1013
ENSG00000021645	937
ENSG00000021762	706
ENSG00000021776	1438
ENSG00000021826	358
ENSG00000021852	0
ENSG00000022267	2609
ENSG00000022277	1174
ENSG00000022355	16
ENSG00000022556	311
ENSG00000022567	288
ENSG00000022840	3370
ENSG00000022976	430
ENSG00000023041	992
ENSG00000023171	213
ENSG00000023191	1812
ENSG00000023228	2880
ENSG00000023287	1546
ENSG00000023318	1316
ENSG00000023330	945
ENSG00000023445	25
ENSG00000023516	2278
ENSG00000023572	182
ENSG00000023608	154
ENSG00000023697	466
ENSG00000023734	3720
ENSG00000023839	44
ENSG00000023892	29
ENSG00000023902	1333
ENSG00000023909	386
ENSG00000024048	1346
ENSG00000024422	1410
ENSG00000024526	796
ENSG00000024862	181
ENSG00000025039	634
ENSG00000025156	723
ENSG00000025293	1525
ENSG00000025423	8
ENSG00000025434	169
ENSG00000025708	11
ENSG00000025770	1274
ENSG00000025772	959
ENSG00000025796	2327
ENSG00000025800	2038
ENSG00000026025	35334
ENSG00000026036	120
ENSG00000026103	528
ENSG00000026297	197
ENSG00000026508	1064
ENSG00000026559	57
ENSG00000026652	2259
ENSG00000026751	0
ENSG00000026950	434
ENSG00000027001	172
ENSG00000027075	172
ENSG00000027644	12
ENSG00000027697	740
ENSG00000027847	456
ENSG00000027869	0
ENSG00000028116	86
ENSG00000028137	228
ENSG00000028203	2046
ENSG00000028277	95
ENSG00000028310	1447
ENSG00000028528	2827
ENSG00000028839	456
ENSG00000029153	207
ENSG00000029363	5887
ENSG00000029364	2186
ENSG00000029534	391
ENSG00000029559	0
ENSG00000029639	173
ENSG00000029725	2302
ENSG00000029993	1503
ENSG00000030066	2039
ENSG00000030110	469
ENSG00000030304	10
ENSG00000030419	194
ENSG00000030582	4128
ENSG00000031003	1103
ENSG00000031081	1596
ENSG00000031544	7
ENSG00000031691	309
ENSG00000031698	3183
ENSG00000031823	1562
ENSG00000032219	949
ENSG00000032389	561
ENSG00000032444	957
ENSG00000032742	582
ENSG00000033011	299
ENSG00000033030	836
ENSG00000033050	1343
ENSG00000033100	1652
ENSG00000033122	266
ENSG00000033170	837
ENSG00000033178	1949
ENSG00000033327	724
ENSG00000033627	1757
ENSG00000033800	764
ENSG00000033867	1175
ENSG00000034053	1547
ENSG00000034063	1223
ENSG00000034152	225
ENSG00000034239	15
ENSG00000034510	18264
ENSG00000034533	90
ENSG00000034677	1356
ENSG00000034693	274
ENSG00000034713	1613
ENSG00000034971	2
ENSG00000035115	793
ENSG00000035141	895
ENSG00000035403	13251
ENSG00000035499	589
ENSG00000035664	175
ENSG00000035681	848
ENSG00000035687	962
ENSG00000035720	0
ENSG00000035862	11620
ENSG00000035928	2003
ENSG00000036054	868
ENSG00000036257	2538
ENSG00000036448	19
ENSG00000036473	0
ENSG00000036530	77
ENSG00000036549	1135
ENSG00000036565	166
ENSG00000036672	33
ENSG00000036828	0
ENSG00000037042	501
ENSG00000037241	180
ENSG00000037280	134
ENSG00000037474	1844
ENSG00000037637	900
ENSG00000037749	1719
ENSG00000037757	243
ENSG00000037897	217
ENSG00000037965	0
ENSG00000038002	158
ENSG00000038210	372
ENSG00000038219	2304
ENSG00000038274	1091
ENSG00000038295	145
ENSG00000038358	1610
ENSG00000038382	9183
ENSG00000038427	19441
ENSG00000038532	993
ENSG00000038945	5
ENSG00000039068	1
ENSG00000039123	2032
ENSG00000039139	12
ENSG00000039319	2009
ENSG00000039523	795
ENSG00000039537	6
ENSG00000039560	5452
ENSG00000039600	2
ENSG00000039650	945
ENSG00000039987	2
ENSG00000040199	936
ENSG00000040275	982
ENSG00000040341	1310
ENSG00000040487	411
ENSG00000040531	439
ENSG00000040608	133
ENSG00000040633	1437
ENSG00000040731	568
ENSG00000040933	1693
ENSG00000041353	14
ENSG00000041357	2846
ENSG00000041515	238
ENSG00000041802	1074
ENSG00000041880	100
ENSG00000041982	40762
ENSG00000041988	321
ENSG00000042062	31
ENSG00000042088	666
ENSG00000042286	158
ENSG00000042304	0
ENSG00000042317	162
ENSG00000042429	1091
ENSG00000042445	1121
ENSG00000042493	89
ENSG00000042753	1475
ENSG00000042781	32
ENSG00000042813	0
ENSG00000042832	34
ENSG00000042980	0
ENSG00000043039	0
ENSG00000043093	963
ENSG00000043143	217
ENSG00000043355	1740
ENSG00000043462	8
ENSG00000043514	500
ENSG00000043591	0
ENSG00000044012	0
ENSG00000044090	2665
ENSG00000044115	13126
ENSG00000044446	432
ENSG00000044459	585
ENSG00000044524	1609
ENSG00000044574	17830
ENSG00000046604	115
ENSG00000046647	222
ENSG00000046651	591
ENSG00000046653	6658
ENSG00000046774	0
ENSG00000046889	3838
ENSG00000047056	649
ENSG00000047188	1422
ENSG00000047230	732
ENSG00000047249	1084
ENSG00000047315	3711
ENSG00000047346	669
ENSG00000047365	93
ENSG00000047410	5702
ENSG00000047457	211
ENSG00000047578	782
ENSG00000047579	266
ENSG00000047597	4
ENSG00000047617	41
ENSG00000047621	734
ENSG00000047634	395
ENSG00000047644	1556
ENSG00000047648	287
ENSG00000047662	12
ENSG00000047849	8778
ENSG00000047932	1164
ENSG00000047936	0
ENSG00000048028	776
ENSG00000048052	291
ENSG00000048140	1318
ENSG00000048162	221
ENSG00000048342	923
ENSG00000048392	1716
ENSG00000048405	403
ENSG00000048462	0
ENSG00000048471	719
ENSG00000048540	35
ENSG00000048544	676
ENSG00000048545	2
ENSG00000048649	3177
ENSG00000048707	1513
ENSG00000048740	3649
ENSG00000048828	2545
ENSG00000048991	1125
ENSG00000049089	113
ENSG00000049130	1452
ENSG00000049167	353
ENSG00000049192	124
ENSG00000049239	1849
ENSG00000049245	1658
ENSG00000049246	312
ENSG00000049247	0
ENSG00000049249	2
ENSG00000049283	11
ENSG00000049319	0
ENSG00000049323	2685
ENSG00000049449	3591
ENSG00000049540	127
ENSG00000049541	819
ENSG00000049618	2089
ENSG00000049656	1928
ENSG00000049759	1581
ENSG00000049768	16
ENSG00000049769	183
ENSG00000049860	1252
ENSG00000049883	145
ENSG00000050030	46
ENSG00000050130	1225
ENSG00000050165	4193
ENSG00000050327	14
ENSG00000050344	231
ENSG00000050393	1214
ENSG00000050405	3054
ENSG00000050426	583
ENSG00000050438	595
ENSG00000050555	678
ENSG00000050628	1
ENSG00000050730	0
ENSG00000050748	1147
ENSG00000050767	345
ENSG00000050820	3721
ENSG00000051009	850
ENSG00000051108	1233
ENSG00000051128	663
ENSG00000051180	368
ENSG00000051341	550
ENSG00000051382	551
ENSG00000051523	21
ENSG00000051596	299
ENSG00000051620	504
ENSG00000051825	928
ENSG00000052126	1901
ENSG00000052344	4
ENSG00000052723	1515
ENSG00000052749	691
ENSG00000052795	925
ENSG00000052802	4540
ENSG00000052841	2478
ENSG00000052850	130
ENSG00000053108	5
ENSG00000053254	1637
ENSG00000053328	0
ENSG00000053371	764
ENSG00000053372	961
ENSG00000053438	634
ENSG00000053501	386
ENSG00000053524	9
ENSG00000053702	73
ENSG00000053747	9
ENSG00000053770	795
ENSG00000053900	791
ENSG00000053918	1
ENSG00000054116	1009
ENSG00000054118	4610
ENSG00000054148	1867
ENSG00000054179	2
ENSG00000054219	2
ENSG00000054267	1518
ENSG00000054277	218
ENSG00000054282	385
ENSG00000054356	25
ENSG00000054392	306
ENSG00000054523	8466
ENSG00000054598	373
ENSG00000054611	330
ENSG00000054654	2561
ENSG00000054690	93
ENSG00000054793	4592
ENSG00000054796	0
ENSG00000054803	0
ENSG00000054938	1
ENSG00000054965	3394
ENSG00000054967	148
ENSG00000054983	936
ENSG00000055044	1255
ENSG00000055070	2999
ENSG00000055118	49
ENSG00000055130	1681
ENSG00000055147	770
ENSG00000055163	3204
ENSG00000055208	2334
ENSG00000055211	814
ENSG00000055332	2366
ENSG00000055483	772
ENSG00000055609	2429
